"id","start_station_id","end_station_id"
139945,57,57
139967,36,36
140179,62,62
140429,70,70
140484,50,50
140715,27,27
140734,66,66
141227,66,66
141388,39,39
142332,75,75
143075,28,28
143707,51,51
144838,70,70
145292,27,27
146812,60,60
147756,60,60
147842,75,75
148495,63,63
148593,65,65
148609,63,63
150138,60,60
150244,61,61
151208,69,69
151489,64,64
151958,62,62
153060,2,2
153181,67,67
153206,48,48
153280,68,68
154409,50,50
154445,73,73
155376,27,27
155643,2,2
155761,39,39
156239,51,51
156344,76,76
157057,66,66
157297,68,68
157594,46,46
157847,70,70
157986,72,72
158111,48,48
158872,3,3
159323,67,67
159739,62,62
160325,70,70
160479,61,61
160856,22,22
160925,42,42
161966,63,63
162375,64,64
162797,64,64
163324,77,77
163932,69,69
164656,36,36
164657,36,36
164720,66,66
165284,70,70
165305,64,64
165599,82,82
165696,46,46
166129,68,68
169232,50,50
169559,55,55
169578,4,4
169778,16,16
169902,69,69
170269,61,61
170510,62,62
170547,49,49
171346,62,62
171508,61,61
171804,76,76
171822,61,61
172777,10,10
172816,28,28
172914,58,58
173120,76,76
173131,66,66
174470,72,72
175373,58,58
175484,74,74
175725,61,61
176175,60,60
176920,70,70
177630,62,62
178595,39,39
178626,62,62
178766,64,64
178887,70,70
178901,65,65
179528,60,60
182355,55,55
182906,55,55
183794,58,58
184113,76,76
184316,55,55
184703,50,50
185232,42,42
185480,6,6
185714,65,65
185761,65,65
185802,61,61
185899,70,70
186437,60,60
186779,60,60
186884,76,76
186999,67,67
187141,76,76
188209,68,68
188339,65,65
189973,2,2
190379,74,74
191927,6,6
192405,41,41
192613,6,6
192695,35,35
192705,50,50
192774,61,61
192886,48,48
193025,67,67
193114,6,6
193120,71,71
193362,34,34
193374,76,76
193477,2,2
193638,76,76
194285,77,77
196859,50,50
196913,2,2
197796,60,60
197960,64,64
432795,46,46
432753,60,60
432708,77,77
432584,42,42
432473,39,39
432417,39,39
432304,76,76
432164,31,31
431886,64,64
431885,64,64
431877,75,75
431872,60,60
431764,50,50
431692,45,45
429029,72,72
427340,70,70
427006,69,69
426408,62,62
426231,73,73
426115,76,76
425916,66,66
425355,66,66
424820,8,8
423272,51,51
421797,58,58
421417,71,71
421267,47,47
420691,42,42
419506,54,54
419504,70,70
419290,80,80
419199,60,60
418587,67,67
417880,84,84
417561,65,65
417074,60,60
416452,74,74
414736,71,71
412441,11,11
412246,39,39
412121,51,51
412119,51,51
412004,39,39
411589,72,72
411516,61,61
411312,49,49
411033,61,61
410597,82,82
410162,55,55
410102,73,73
410101,73,73
409979,39,39
409345,65,65
407303,61,61
407302,61,61
406512,8,8
405485,63,63
405130,63,63
405126,63,63
404833,69,69
404794,70,70
404133,49,49
403886,42,42
403304,48,48
403141,48,48
402968,82,82
402714,67,67
402529,70,70
402193,73,73
402148,72,72
401877,68,68
401640,73,73
401561,45,45
401470,12,12
401302,73,73
401293,45,45
401171,54,54
401167,8,8
400943,82,82
400902,77,77
400122,39,39
399593,73,73
399551,63,63
399515,76,76
399150,46,46
398598,71,71
398360,73,73
398084,72,72
397931,46,46
396985,55,55
396749,59,59
395646,65,65
395535,10,10
395071,61,61
395068,61,61
395053,61,61
395037,42,42
395023,61,61
394843,45,45
393905,76,76
393524,74,74
393517,74,74
393324,36,36
392709,73,73
392591,71,71
391985,72,72
391854,67,67
391795,71,71
391635,65,65
391628,76,76
391515,22,22
391124,63,63
390458,67,67
390373,71,71
390245,50,50
389771,50,50
389034,48,48
388866,80,80
388558,39,39
387043,11,11
386598,60,60
385913,61,61
385761,62,62
385728,51,51
385595,36,36
384644,11,11
384269,72,72
383893,54,54
383292,63,63
383130,50,50
383034,77,77
382721,72,72
382648,63,63
382631,72,72
382561,61,61
382334,72,72
382260,72,72
382259,72,72
382082,63,63
381793,69,69
381791,69,69
381670,66,66
381660,6,6
381478,50,50
381342,75,75
381273,71,71
380912,32,32
380584,32,32
380498,73,73
380231,77,77
380026,61,61
379667,46,46
379466,69,69
378420,69,69
377777,75,75
376936,42,42
376699,73,73
376698,73,73
376560,82,82
376352,7,7
376204,69,69
372630,41,41
372314,16,16
371977,67,67
371573,72,72
371186,69,69
371048,60,60
370872,54,54
370852,48,48
370850,48,48
370656,74,74
370513,61,61
369931,55,55
369909,49,49
369545,61,61
369264,74,74
369128,73,73
369120,45,45
369068,32,32
368785,50,50
368498,61,61
368161,72,72
366075,50,50
365458,68,68
363454,55,55
362788,39,39
362685,60,60
362449,70,70
362273,67,67
361865,70,70
361584,66,66
361379,34,34
360744,50,50
360471,65,65
360102,49,49
360073,60,60
358911,24,24
358605,70,70
358195,75,75
357966,70,70
355819,12,12
355410,75,75
354472,70,70
354444,42,42
354287,73,73
353955,76,76
353765,65,65
353684,67,67
353374,75,75
352973,72,72
352936,61,61
352741,55,55
352572,7,7
352169,50,50
352099,75,75
352094,22,22
352036,56,56
351951,35,35
351711,46,46
351551,61,61
351540,50,50
351174,45,45
350760,60,60
350599,12,12
350523,54,54
350302,58,58
348975,65,65
348468,23,23
347798,61,61
344472,69,69
344450,69,69
344383,45,45
344218,46,46
344094,69,69
343996,61,61
343925,2,2
343771,65,65
343567,61,61
343456,60,60
343349,36,36
343277,10,10
343176,60,60
343175,60,60
343072,56,56
342954,50,50
342931,70,70
341966,51,51
341663,68,68
341495,60,60
341122,66,66
340859,73,73
340214,77,77
339326,34,34
339173,70,70
339052,54,54
338716,72,72
338661,72,72
337907,54,54
337782,2,2
337101,42,42
337040,51,51
335861,65,65
335857,69,69
335844,39,39
334921,55,55
334622,28,28
334371,60,60
334313,60,60
333981,76,76
333960,76,76
333844,46,46
333595,69,69
333215,16,16
332961,65,65
331918,54,54
331195,39,39
330840,34,34
330309,30,30
330130,64,64
330099,48,48
329734,67,67
329580,35,35
329502,77,77
329263,62,62
328091,65,65
326559,61,61
326126,60,60
326010,45,45
325463,70,70
324936,37,37
324325,39,39
324025,68,68
323841,68,68
323341,67,67
323016,30,30
322786,50,50
322396,75,75
322176,72,72
321159,72,72
320873,16,16
319962,7,7
319259,64,64
318992,2,2
318967,24,24
317774,57,57
317135,82,82
315209,12,12
314762,74,74
314750,70,70
314677,39,39
314471,70,70
313970,75,75
313474,70,70
313345,3,3
312777,73,73
312214,76,76
311841,70,70
311450,48,48
311359,76,76
310914,61,61
310532,48,48
310001,69,69
309883,80,80
309804,49,49
308734,61,61
308592,62,62
308587,62,62
308366,65,65
308033,51,51
307926,28,28
306877,65,65
306110,68,68
305977,76,76
305806,71,71
305723,50,50
305672,77,77
305546,77,77
305545,77,77
304933,57,57
304840,35,35
304228,76,76
302876,48,48
301625,80,80
301483,42,42
299569,75,75
299438,60,60
299073,69,69
298396,61,61
297935,54,54
297172,41,41
296833,37,37
296408,57,57
296241,70,70
296201,31,31
296143,69,69
294403,76,76
294291,70,70
293764,46,46
293518,68,68
292903,35,35
291949,67,67
291473,67,67
290642,55,55
290467,47,47
290162,62,62
289781,39,39
289457,50,50
289037,49,49
288952,60,60
288760,51,51
288691,72,72
288105,46,46
288104,46,46
287923,60,60
287774,60,60
287092,39,39
286897,35,35
286523,30,30
286070,41,41
285544,41,41
285052,56,56
284638,67,67
284451,70,70
284299,46,46
283927,54,54
283786,77,77
282184,71,71
281807,66,66
281042,65,65
280602,67,67
280089,74,74
279584,24,24
279488,64,64
279373,72,72
279347,39,39
279246,48,48
278460,76,76
278384,76,76
277755,84,84
277534,70,70
277504,51,51
277198,10,10
277157,75,75
276039,56,56
275629,67,67
275628,67,67
275326,60,60
274634,50,50
274516,42,42
273733,60,60
272822,65,65
272807,46,46
272103,51,51
271822,60,60
271332,51,51
271037,72,72
270573,6,6
270032,10,10
269987,74,74
269974,34,34
269891,2,2
269562,55,55
269343,50,50
269098,55,55
268806,50,50
268540,48,48
268377,77,77
268078,77,77
267034,56,56
266570,57,57
266461,5,5
266377,49,49
263518,61,61
262706,67,67
262290,84,84
261926,50,50
261795,39,39
261530,61,61
261528,73,73
261376,70,70
261034,42,42
260619,39,39
260560,77,77
260102,73,73
259654,57,57
259419,54,54
258697,76,76
258387,69,69
258076,69,69
257724,57,57
257643,76,76
257020,72,72
256150,69,69
255654,72,72
255026,50,50
254867,51,51
254576,7,7
254433,77,77
254415,3,3
254142,76,76
253642,39,39
253218,70,70
253076,39,39
251392,56,56
251024,82,82
250175,54,54
250085,54,54
249769,61,61
249707,82,82
249352,6,6
249101,14,14
248922,73,73
248735,34,34
248632,69,69
248309,62,62
247901,75,75
247879,56,56
247874,74,74
246580,62,62
246482,46,46
246462,73,73
246120,66,66
246119,60,60
246118,66,66
246114,75,75
246039,68,68
245823,66,66
245737,66,66
245096,50,50
244131,59,59
244068,29,29
243962,68,68
243243,41,41
242643,57,57
242555,76,76
242479,50,50
242264,36,36
241904,41,41
241881,55,55
241602,48,48
241582,67,67
241543,73,73
240270,70,70
239947,60,60
239649,82,82
239048,73,73
238371,65,65
238139,48,48
237630,69,69
237624,70,70
236909,77,77
236112,66,66
236039,69,69
235972,29,29
234023,69,69
233220,45,45
233107,75,75
232739,29,29
232485,67,67
232070,70,70
231607,56,56
231388,46,46
231381,42,42
231361,74,74
230923,76,76
230772,31,31
229300,61,61
229245,61,61
229194,6,6
228094,54,54
227988,2,2
227435,39,39
227059,67,67
225578,67,67
225174,65,65
224999,2,2
224844,69,69
224291,9,9
224016,60,60
223755,22,22
223118,8,8
222017,47,47
220932,13,13
220770,32,32
220759,50,50
220600,49,49
220378,77,77
219959,51,51
219892,71,71
219891,71,71
219873,70,70
219786,77,77
219001,66,66
218776,75,75
216178,75,75
216129,64,64
215902,61,61
215853,39,39
215807,50,50
215593,72,72
215209,72,72
215189,60,60
215107,65,65
214690,54,54
214630,74,74
214626,2,2
214074,49,49
213275,74,74
212843,45,45
212224,51,51
211814,13,13
211671,2,2
211523,75,75
211327,70,70
211319,65,65
210353,42,42
210138,65,65
210028,70,70
208647,62,62
208463,74,74
208063,60,60
207182,13,13
206452,71,71
206392,50,50
206339,70,70
206008,49,49
204677,69,69
202979,45,45
202211,34,34
201676,65,65
200593,70,70
199497,49,49
199465,33,33
199464,33,33
198940,73,73
198827,67,67
588746,48,48
587995,70,70
587637,75,75
586820,39,39
586774,67,67
586772,67,67
585973,61,61
585938,59,59
585815,72,72
585184,68,68
584667,50,50
584536,50,50
583659,49,49
583654,68,68
583345,75,75
583153,64,64
582391,65,65
582153,63,63
581661,77,77
581557,70,70
581153,82,82
580968,65,65
580497,60,60
580048,54,54
578946,51,51
578518,45,45
578171,77,77
577492,50,50
577063,54,54
577025,49,49
576472,74,74
576265,59,59
576216,67,67
575912,50,50
575620,39,39
575455,39,39
575437,39,39
575425,14,14
575350,58,58
574993,74,74
574684,74,74
574497,74,74
574356,69,69
574197,7,7
574024,39,39
573825,28,28
572848,51,51
570544,55,55
570229,39,39
569966,51,51
569847,71,71
569702,64,64
569620,72,72
569426,74,74
569340,55,55
568350,60,60
568115,72,72
567482,6,6
567207,69,69
567134,69,69
567050,64,64
567033,71,71
565941,28,28
565934,65,65
565858,47,47
565586,54,54
565561,54,54
565478,74,74
565469,74,74
564874,70,70
564588,45,45
564369,45,45
564275,77,77
563347,68,68
562072,54,54
561899,72,72
561167,55,55
560855,74,74
560805,45,45
560468,55,55
559566,51,51
558803,76,76
558722,64,64
558712,49,49
558630,74,74
558228,69,69
558163,41,41
557768,69,69
557603,55,55
556714,39,39
556685,2,2
556115,64,64
555232,65,65
554606,24,24
554044,64,64
